Player,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
Alexander Zverev(GER),79,61,18,0.772,2,0,27,17
Jannik Sinner(ITA),71,65,6,0.915,4,0,24,8
Holger Rune(DEN),68,45,23,0.662,0,1,20,11
Andrey Rublev(RUS),66,43,23,0.652,2,0,15,20
Lorenzo Musetti(ITA),66,39,27,0.591,1,4,18,16
Taylor Fritz(USA),65,46,19,0.708,1,0,20,12
Ben Shelton(USA),65,41,24,0.631,2,0,24,25
Tommy Paul(USA),64,45,19,0.703,2,2,14,9
Casper Ruud(NOR),64,44,20,0.688,3,0,16,10
Grigor Dimitrov(BUL),63,45,18,0.714,3,0,23,10
Stefanos Tsitsipas(GRE),63,42,21,0.667,3,0,18,14
Daniil Medvedev(RUS),62,45,17,0.726,3,0,20,8
Ugo Humbert(FRA),61,38,23,0.623,0,0,10,14
Arthur Fils(FRA),60,36,24,0.600,2,1,16,7
Flavio Cobolli(ITA),60,34,26,0.567,1,2,12,19
Carlos Alcaraz(ESP),59,48,11,0.814,2,0,16,11
Alex De Minaur(AUS),59,44,15,0.746,8,1,11,6
Jack Draper(GBR),59,39,20,0.661,4,0,13,9
Karen Khachanov(RUS),59,37,22,0.627,2,0,20,13
Jordan Thompson(AUS),58,35,23,0.603,1,3,18,5
Alex Michelsen(USA),58,30,28,0.517,3,4,16,18
Francisco Cerundolo(ARG),58,30,28,0.517,2,3,15,15
Frances Tiafoe(USA),57,32,25,0.561,1,0,20,19
Tomas Martin Etcheverry(ARG),57,29,28,0.509,1,2,13,18
Sebastian Baez(ARG),56,30,26,0.536,4,1,8,7
Tomas Machac(CZE),54,33,21,0.611,1,2,14,9
Hubert Hurkacz(POL),53,36,17,0.679,1,1,28,20
Alejandro Tabilo(CHI),53,30,23,0.566,1,1,14,12
Felix Auger-Aliassime(CAN),53,29,24,0.547,2,0,9,13
Tallon Griekspoor(NED),53,29,24,0.547,0,0,19,17
Marcos Giron(USA),53,27,26,0.509,1,3,12,10
Miomir Kecmanovic(SRB),53,24,29,0.453,1,2,9,19
Matteo Arnaldi(ITA),52,27,25,0.519,1,2,15,12
Roberto Carballes Baena(ESP),51,25,26,0.490,1,1,11,8
Luciano Darderi(ITA),50,24,26,0.480,3,2,16,11
Sebastian Korda(USA),49,30,19,0.612,4,0,12,12
Alexander Bublik(KAZ),49,25,24,0.510,0,1,10,11
Zhizhen Zhang(CHN),49,23,26,0.469,3,1,11,17
Fabian Marozsan(HUN),49,23,26,0.469,2,2,14,9
Nuno Borges(POR),48,24,24,0.500,2,4,16,14
